(house,casa)
(dog,perro)
(homework,tarea)
(woman,mujer)
(town,pueblo)
(family,familia)
(happiness,felicidad)
(cat,gato)
(yes,si)
(book,libro)
(car,coche)
(school,escuela)
(tree,arbol)
(sun,sol)
(moon,luna)
(chair,silla)
(table,mesa)
(bed,cama)
(friend,amigo)
(food,comida)
(water,agua)
(money,dinero)
(time,tiempo)
(work,trabajo)
(music,musica)
(movie,pelicula)
(city,ciudad)
(beach,playa)
(fish,pez)
(bird,pajaro)
(love,amor)
(health,salud)
(day,dia)
(night,noche)
(color,color)
(language,idioma)
(computer,computadora)
(phone,telefono)
(internet,internet)
(game,juego)
(sport,deporte)
(hobby,pasatiempo)
(garden,jardin)
(weather,clima)
(rain,lluvia)
(snow,nieve)
(flower,flor)
(fruit,fruta)
(vegetable,verdura)
(shirt,camisa)
(pants,pantalones)
